Project Number,Legacy Project Number,City,County,State,Zip Code,Sector,Electric Utility,Purchase Type,Date Application Received,Date Completed,Project Status,Contractor,Primary Inverter Manufacturer,Primary Inverter Model Number,Total Inverter Quantity,Primary PV Module Manufacturer,PV Module Model Number,Total PV Module Quantity,Project Cost,$Incentive,Total Nameplate kW DC,Expected KWh Annual Production,Georeference
9602,4704-86361,Uniondale,Nassau,NY,11553,Residential,Long Island Power Authority,Purchase,01/11/2016,06/20/2017,Complete,Tesla Energy Operations Inc.,ABB,PVI-6000-OUTD-US-Z-A (240V),1,Canadian Solar,CS6P-255PX,30,42993,918,7.65,7938,POINT (-73.591014 40.704884)
139395,,Buffalo,Erie,NY,14217,Residential,National Grid,Purchase,09/08/2018,02/06/2019,Complete,"Solcius, LLC",SolarEdge Technologies Ltd.,SE3800H-US [240V],1,SolarWorld Industries GmbH,Sunmodule Plus SW 290 mono black,8,8976,812,2.32,2729,POINT (-78.874694 42.970263)
6967,4704-54956,East Northport,Suffolk,NY,11731,Residential,Long Island Power Authority,Lease,12/17/2014,04/16/2015,Complete,Tesla Energy Operations Inc.,ABB,PVI 3.0 OUTD-S-US-Z-M-A (240 V),1,Canadian Solar,CS6P-255PX,12,17136,918,3.06,3746,POINT (-73.317892 40.864834)
126716,,Seaford,Nassau,NY,11783,Residential,Long Island Power Authority,Purchase,06/21/2018,08/14/2018,Complete,"SuNation Solar Systems, Inc.",SolarEdge Technologies Ltd.,SE7600H-US [240V],1,SANYO ELECTRIC CO LTD OF PANASONIC GROUP,VBHN330SA16,24,26290,,7.92,8375,POINT (-73.491332 40.67888)
238492,,Brooklyn,Kings,NY,11232,Residential,Consolidated Edison,Purchase,03/03/2020,07/29/2020,Complete,"Brooklyn SolarWorks, LLC",SMA America,SB5.0-1SP-US-40 [208V],1,LG Electronics Inc.,LG375Q1C-V5,12,40527.03,900,4.5,4750,POINT (-74.000591 40.655247)
283082,,Queens,Queens,NY,11427,Residential,Consolidated Edison,Lease,01/12/2021,,Pipeline,,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],12,LG Electronics Inc.,LG345N1C-V5,12,9086,397,4.14,2684,POINT (-73.749551 40.729539)
35608,5098-66082,Coram,Suffolk,NY,11727,Residential,Long Island Power Authority,Lease,06/03/2015,04/01/2016,Complete,NRG Residential Solar Solutions,Enphase Energy,M215-60-2LL-S2X-IG,14,Trina Solar,TSM-255PD05.08,14,12116.71,543,3.57,3604,POINT (-73.005151 40.884363)
67441,4704-91405,Valley Stream,Nassau,NY,11581,Residential,Long Island Power Authority,Lease,02/25/2016,10/17/2016,Complete,Tesla Energy Operations Inc.,ABB,PVI-4.2-OUTD-S-US-Z-A (240V),1,REC Solar,REC260PE Z-LINK,20,29120,666,5.2,4656,POINT (-73.712183 40.652939)
104475,,Albany,Albany,NY,12205,Residential,National Grid,Power Purchase Agreement,11/23/2017,01/15/2018,Complete,Vivint Solar Development LLC,Enphase Energy Inc.,IQ6-60-x-US (240V),13,Hanwha Q CELLS,Q.PEAK BLK-G4.1 290,13,18811.5,871,3.77,3316,POINT (-73.824203 42.712719)
182515,,queens,Queens,NY,11422,Residential,Consolidated Edison,Lease,04/17/2019,05/30/2019,Complete,SunRun Inc.,Enphase Energy Inc.,IQ6PLUS-72-x-US [208V],10,LG Electronics Inc.,LG335N1C-A5,10,12595.32,653,3.35,2940,POINT (-73.73468 40.663668)
244958,,Bronx,Bronx,NY,10473,Residential,Consolidated Edison,Purchase,05/14/2020,06/29/2020,Complete,Kamtech Restoration Corp,SunPower,SPR-E20-327-E-AC [208V],8,Sunpower,SPR-E20-327-E-AC,8,20143,523,2.62,3365,POINT (-73.856919 40.819283)
269155,,STATEN ISLAND,Richmond,NY,10304,Residential,Consolidated Edison,Purchase,10/15/2020,01/04/2021,Complete,Venture Home Solar LLC,Enphase Energy Inc.,IQ7-60-x-US [240V],11,LG Electronics Inc.,LG335N1C-V5,11,16287.7,737,3.69,4120,POINT (-74.092177 40.606587)
249390,,Hollis,Queens,NY,11423,Residential,Consolidated Edison,Purchase,07/16/2020,,Pipeline,,SunPower,SPR-X22-360-E-AC [208V],21,Sunpower,SPR-X22-360-E-AC,21,37141.83,756,7.56,5105,POINT (-73.76856 40.716566)
281695,,Patchogue,Suffolk,NY,11772,Residential,Long Island Power Authority,Purchase,12/31/2020,,Pipeline,,Enphase Energy Inc.,IQ7PLUS-72-x-US-& [240V],19,Solaria Corporation,Solaria PowerXT-370R-PD,19,24255,,7.03,6900,POINT (-72.995552 40.76922)
249517,,Brooklyn,Kings,NY,11212,Residential,Consolidated Edison,Lease,07/17/2020,12/15/2020,Complete,SunRun Inc.,Delta Electronics,M4-TL-US [240V],1,"LONGi Green Energy Technology Co., Ltd.",LR6-60HPB-310M,16,20950.54,992,4.96,5418,POINT (-73.913254 40.661868)
149117,,Merrick,Nassau,NY,11566,Residential,Long Island Power Authority,Purchase,08/28/2018,10/19/2018,Complete,"SuNation Solar Systems, Inc.",SolarEdge Technologies Ltd.,SE6000H-US [240V],1,"S-Energy Co., Ltd.",SN355M-10,21,25197.9,,7.46,9492,POINT (-73.555545 40.668671)
51134,4978-96058,Massapequa Park,Nassau,NY,11762,Residential,Long Island Power Authority,Lease,04/15/2016,03/02/2017,Complete,SunRun Inc.,SolarEdge Technologies,SE6000 (240V) w/ -ER-US or A-US,1,Trina Solar,TSM-260PD05.08,27,28009.8,870,7.02,6080,POINT (-73.44727 40.683691)
235160,,Rochester,Monroe,NY,14609,Residential,Rochester Gas and Electric,Purchase,02/12/2020,03/30/2020,Complete,GreenSpark Solar (dba for Sustainable Energy Developments),SMA America,SB3.0-1SP-US-41 [240V],1,Hanwha Q CELLS,Q.PEAK DUO-G5 325,8,18501,910,2.6,2268,POINT (-77.559147 43.175867)
229557,,New Hyde Park,Nassau,NY,11040,Residential,Long Island Power Authority,Purchase,12/30/2019,02/24/2020,Complete,"SuNation Solar Systems, Inc.",Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],16,"S-Energy Co., Ltd.",SN370M-10T,16,24406,,5.92,6316,POINT (-73.680183 40.744867)
39887,4704-78603,Bethpage,Nassau,NY,11714,Residential,Long Island Power Authority,Power Purchase Agreement,10/22/2015,02/29/2016,Complete,Tesla Energy Operations Inc.,SolarEdge Technologies,SE3800 (240V) w/ -ER-US or A-US,1,REC Solar,REC260PE Z-LINK,17,24752,884,4.42,6163,POINT (-73.484996 40.740895)
264512,,Queens Village,Queens,NY,11427,Residential,Consolidated Edison,Purchase,09/24/2020,12/09/2020,Complete,SUNCO CAPITAL LLC,Enphase Energy Inc.,IQ7-60-x-ACM-US [208V],10,Hanwha Q CELLS,Q.PEAK DUO BLK-G5 320,10,38981,640,3.2,3846,POINT (-73.749551 40.729539)
164131,,Hopewell Junction,Dutchess,NY,12533,Residential,Central Hudson Gas and Electric,Purchase,11/28/2018,02/01/2019,Complete,Trinity Solar (dba for Trinity Heating and Air),SolarEdge Technologies Ltd.,SE3800H-US [240V],1,Hanwha Q Cells,Q.PEAK DUO BLK-G5 315,14,14509,803,4.41,2763,POINT (-73.794068 41.566371)
45555,4704-96059,Wantagh,Nassau,NY,11793,Residential,Long Island Power Authority,Power Purchase Agreement,04/15/2016,08/03/2017,Complete,Tesla Energy Operations Inc.,ABB,PVI-3.6-OUTD-S-US-Z-A (240V),1,Trina Solar,TSM-260PD05.18,19,27664,652,4.94,5960,POINT (-73.510289 40.683611)
58653,4704-78562,Roslyn Heights,Nassau,NY,11577,Residential,Long Island Power Authority,Lease,10/22/2015,08/18/2017,Complete,Tesla Energy Operations Inc.,ABB,PVI-6000-OUTD-US-Z-A (240V),1,Trina Solar,TSM-255PD05.18,27,38556,950,6.89,6725,POINT (-73.638536 40.783939)
259750,,North Bellmore,Nassau,NY,11710,Residential,Long Island Power Authority,Purchase,09/09/2020,11/30/2020,Complete,EmPower Solar,SunPower,SPR-A415-G-AC [240V],14,Sunpower,SPR-A415-G-AC,14,22340.61,,5.81,5365,POINT (-73.534468 40.677262)
9336,4978-84466,Huntington,Suffolk,NY,11743,Residential,Long Island Power Authority,Lease,12/17/2015,10/26/2016,Complete,SunRun Inc.,SolarEdge Technologies,SE5000 (240V) w/ -ER-US or A-US,1,Canadian Solar,CS6P-260P,20,20488,676,5.2,4790,POINT (-73.415539 40.871218)
100390,,Bellmore,Nassau,NY,11710,Residential,Long Island Power Authority,Purchase,11/24/2017,03/05/2018,Complete,Grid City Electric Corp,SolarEdge Technologies Ltd.,SE3800H-US,1,LG Electronics,LG335N1C-A5,14,16800,,4.69,6299,POINT (-73.534468 40.677262)
8880,4704-78612,Mineola,Nassau,NY,11501,Residential,Long Island Power Authority,Power Purchase Agreement,10/22/2015,12/29/2015,Complete,Tesla Energy Operations Inc.,ABB,PVI-3.0-OUTD-S-US-Z-A (240V),1,REC Solar,REC260PE Z-LINK,10,14560,520,2.6,3431,POINT (-73.639378 40.747079)
158804,,Staten Island,Richmond,NY,10310,Residential,Consolidated Edison,Lease,10/18/2018,12/10/2018,Complete,SunRun Inc.,SolarEdge Technologies Ltd.,SE5000H-US [240V],1,LG Electronics Inc.,LG330N1C-A5,15,19503,936,4.95,4196,POINT (-74.115757 40.632051)
50319,4704-89323,Scotia,Schenectady,NY,12302,Residential,National Grid,Power Purchase Agreement,02/01/2016,06/01/2016,Complete,Tesla Energy Operations Inc.,ABB,PVI-3.0-OUTD-S-US-Z-A (240V),1,Canadian Solar,CS6P-255PX,12,17136,918,3.06,3202,POINT (-73.967054 42.866806)
42890,4704-87608,Central Islip,Suffolk,NY,11722,Residential,Long Island Power Authority,Lease,01/21/2016,08/29/2016,Complete,Tesla Energy Operations Inc.,ABB,PVI-3.6-OUTD-S-US-Z-A (240V),1,Canadian Solar,CS6P-250PX,18,25200,900,4.5,5745,POINT (-73.198651 40.783771)
113547,,Levittown,Nassau,NY,11756,Residential,Long Island Power Authority,Purchase,02/27/2018,04/19/2018,Complete,"SuNation Solar Systems, Inc.",SolarEdge Technologies Ltd.,SE6000H-US,1,Silfab,SLG370M,19,22636.6,,7.03,8754,POINT (-73.517198 40.725845)
221221,,Queens,Queens,NY,11427,Residential,Consolidated Edison,Purchase,11/13/2019,03/17/2020,Complete,Venture Home Solar LLC,Enphase Energy Inc.,IQ7-60-x-US [240V],14,LG Electronics Inc.,LG335N1C-A5,14,38364.2,689,4.69,3103,POINT (-73.749551 40.729539)
258560,,Queens,Queens,NY,11433,Residential,Consolidated Edison,Lease,08/15/2020,02/10/2021,Complete,SunPower Capital LLC,SunPower,SPR-E20-327-E-AC [240V],14,Sunpower,SPR-E20-327-E-AC,14,28400,916,4.58,4420,POINT (-73.787795 40.697789)
10629,4355-0330-Financing,Sound Beach,Suffolk,NY,11789,Residential,Long Island Power Authority,Purchase,08/18/2016,11/30/2016,Complete,"SuNation Solar Systems, Inc.",SolarEdge Technologies,SE 10000A-US (240V),1,LG Electronics,LG365N2W-B3,29,46430,,10.59,10493,POINT (-72.972739 40.956918)
247912,,Staten Island,Richmond,NY,10304,Residential,Consolidated Edison,Lease,05/29/2020,07/24/2020,Complete,SunRun Inc.,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],8,LG Electronics Inc.,LG345N1C-V5,8,8791,552,2.76,3454,POINT (-74.092177 40.606587)
215301,,Brooklyn,Kings,NY,11231,Residential,Consolidated Edison,Purchase,10/09/2019,10/17/2019,Complete,"Brooklyn SolarWorks, LLC",SMA America,SB3.8-1SP-US-40 [208V],1,LG Electronics Inc.,LG370Q1C-V5,6,26462.97,666,2.22,2497,POINT (-74.003047 40.678692)
92401,,Brooklyn,Kings,NY,11228,Residential,Consolidated Edison,Purchase,07/18/2017,12/05/2017,Complete,Group Solar USA,Enphase Energy,M215-60-2LL-S2x,14,Silfab,SLA280M,14,28990,894,3.92,2991,POINT (-74.01254 40.617485)
59642,4704-81427,Lindenhurst,Suffolk,NY,11757,Residential,Long Island Power Authority,Lease,11/18/2015,07/15/2016,Complete,Tesla Energy Operations Inc.,ABB,PVI-3.0-OUTD-S-US-Z-A (240V),1,Trina Solar,TSM-260PD05.18,13,18995.6,493,3.38,4623,POINT (-73.374734 40.690158)
116508,,North Bellmore,Nassau,NY,11710,Residential,Long Island Power Authority,Purchase,04/10/2018,05/25/2018,Complete,"SuNation Solar Systems, Inc.",SolarEdge Technologies Ltd.,SE7600H-US [240V],1,Silfab,SLA310M,30,31062,,9.3,11424,POINT (-73.534468 40.677262)
207883,,Hamburg,Erie,NY,14075,Residential,NYS Electric and Gas,Purchase,09/24/2019,11/20/2019,Complete,CIR Electrical Construction Corp.,SolarEdge Technologies Ltd.,SE3800H-US [240V],1,Silfab Solar Inc,SLA310M [Blk],8,6968,582,2.48,2102,POINT (-78.83641 42.727748)
188578,,Staten Island,Richmond,NY,10314,Residential,Consolidated Edison,Purchase,06/06/2019,07/23/2019,Complete,Trinity Solar (dba for Trinity Heating and Air),SolarEdge Technologies Ltd.,SE3000H-US [240V],1,Hanwha Q CELLS,Q.PEAK DUO BLK-G5 315,12,15120,862,3.78,3866,POINT (-74.152798 40.604049)
2250,17946-14,Lagrangeville,,NY,12540,Residential,NYS Electric and Gas,,07/15/2011,07/15/2011,Complete,Tesla Energy Operations Inc.,Enphase Energy,D380-72-240-S1x,22,Canadian Solar,CS6P-230P,22,,,5.06,5033,POINT (-73.741004 41.661444)
43848,4704-89808,Albany,Albany,NY,12208,Residential,National Grid,Power Purchase Agreement,02/04/2016,03/16/2016,Complete,Tesla Energy Operations Inc.,ABB,PVI-3.0-OUTD-S-US-Z-A (240V),1,Hanwha Q-Cells,Q.PRO-G4/SC 260,6,8736,624,1.56,1965,POINT (-73.803265 42.655144)
191828,,Staten Island,Richmond,NY,10305,Residential,Consolidated Edison,Lease,06/26/2019,07/17/2019,Complete,SunRun Inc.,SolarEdge Technologies Ltd.,SE3800H-US [240V],1,LG Electronics Inc.,LG330N1C-A5,11,16171,817,3.63,3645,POINT (-74.074837 40.597982)
7540,4704-64301,Hauppauge,Suffolk,NY,11788,Residential,Long Island Power Authority,Lease,05/11/2015,08/18/2015,Complete,Tesla Energy Operations Inc.,ABB,PVI-5000-OUTD-S-US-Z-A (240 V),1,Trina Solar,TSM-260PD05.18,25,36400,611,6.5,5081,POINT (-73.210927 40.817844)
48519,4355-912,Centereach,Suffolk,NY,11720,Residential,Long Island Power Authority,Purchase,09/13/2016,11/15/2016,Complete,"SuNation Solar Systems, Inc.",SolarEdge Technologies,SE 10000A-US (240V),1,LG Electronics Solar Cell Division,LG365N2W-B3,30,33036,,10.95,11797,POINT (-73.081448 40.871411)
8947,4704-79387,Bohemia,Suffolk,NY,11716,Residential,Long Island Power Authority,Power Purchase Agreement,10/29/2015,08/03/2016,Complete,Tesla Energy Operations Inc.,ABB,PVI-3.6-OUTD-S-US-Z-A (240V),1,Trina Solar,TSM-255PD05.18,17,24276,867,4.34,5430,POINT (-73.113941 40.769987)
191874,,Farmingdale,Nassau,NY,11735,Residential,Long Island Power Authority,Purchase,06/21/2019,08/22/2019,Complete,"SuNation Solar Systems, Inc.",Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],18,"S-Energy Co., Ltd.",SN360M-10,18,24723,,6.48,7162,POINT (-73.436991 40.727443)
160621,,New City,Rockland,NY,10956,Residential,Orange and Rockland Utilities,Purchase,12/06/2018,01/02/2019,Complete,SunRun Inc.,Enphase Energy Inc.,IQ7-60-x-US [240V],13,Trina Solar,TSM-280DD05A.05(II),13,11804.52,930,3.64,3492,POINT (-73.995074 41.15036)
254397,,Brooklyn,Kings,NY,11234,Residential,Consolidated Edison,Purchase,07/17/2020,08/17/2020,Complete,Venture Home Solar LLC,Enphase Energy Inc.,IQ7-60-x-US [208V],10,LG Electronics Inc.,LG335N1C-V5,10,30317.5,670,3.35,4253,POINT (-73.919271 40.615992)
222283,,Flushing,Queens,NY,11358,Residential,Consolidated Edison,Purchase,12/31/2019,09/17/2020,Complete,"SuNation Solar Systems, Inc.",Enphase Energy Inc.,IQ7X-96-x-US [240V],15,SANYO ELECTRIC CO LTD OF PANASONIC GROUP,VBHN330SA17,15,26714,980,4.95,4452,POINT (-73.796208 40.760971)
148919,,West Islip,Suffolk,NY,11795,Residential,Long Island Power Authority,Purchase,09/12/2018,03/01/2019,Complete,Sunrise Energy Corp.,Enphase Energy Inc.,IQ6-60-x-US [240V],42,"Jinko Solar Co., Ltd",JKM295M-60,42,42745.5,,12.39,13724,POINT (-73.298729 40.711073)
257664,,Richmond Hill,Queens,NY,11418,Residential,Consolidated Edison,Lease,08/11/2020,,Pipeline,,SolarEdge Technologies Ltd.,SE5000H-US [240V],1,Hanwha Q CELLS,Q.PEAK DUO BLK-G6+ 340,19,25969.2,866,6.46,5826,POINT (-73.832798 40.69846)
149329,,Yonkers,Westchester,NY,10704,Residential,Consolidated Edison,Power Purchase Agreement,09/12/2018,11/20/2018,Complete,Sunnova Energy Corp.,Enphase Energy Inc.,IQ6-60-x-US [240V],13,Hanwha Q Cells,Q.PEAK DUO BLK-G5 315,13,16802.1,958,4.1,4380,POINT (-73.861958 40.919901)
2365,17945-5,Queens,,NY,11377,Non-Residential,Consolidated Edison,,03/18/2011,03/18/2011,Complete,"Solar Energy Systems, LLC",SMA America,SB5000US (240V),6,Suntech Power,STP270-24/Vb-1,122,,,32.94,35660,POINT (-73.904361 40.74462)
72562,,Medford,Suffolk,NY,11763,Residential,Long Island Power Authority,Purchase,10/24/2016,01/12/2017,Complete,"SuNation Solar Systems, Inc.",SolarEdge Technologies,SE 10000A-US (240V),1,LG Electronics,LG300N1K-G4,34,41355,,10.2,9952,POINT (-72.982416 40.822436)
242085,,Peekskill,Westchester,NY,10566,Residential,Consolidated Edison,Purchase,04/03/2020,08/17/2020,Complete,"Empire Solar Solutions, LLC",SolarEdge Technologies Ltd.,SE3800H-US [240V],1,Hanwha Q CELLS,Q.PEAK DUO-G5 325,13,12500,845,4.23,4740,POINT (-73.917154 41.289818)
2538,2130,Clarence,,NY,14031,Non-Residential,NYS Electric and Gas,,09/20/2011,09/20/2011,Complete,,SMA America,SB6000US (240V),4,Sharp,NU-U235F1,208,,,48.88,51281,POINT (-78.614969 42.984386)
44843,5324-93555,Bay Shore,Suffolk,NY,11706,Residential,Long Island Power Authority,Power Purchase Agreement,04/04/2016,05/18/2016,Complete,"NY SunEdison Residential Services, LLC",Enphase Energy,M215-60-2LL-S2X-IG-ZC-NA,9,Sun Edison,SE-F270KzD-3y,9,9000.01,,2.43,2643,POINT (-73.255404 40.729218)
262104,,Brooklyn,New York,NY,11204,Residential,Consolidated Edison,Purchase,09/11/2020,01/07/2021,Complete,Amergy Solar Inc.,SolarEdge Technologies Ltd.,SE3800H-US [240V],1,Hanwha Q CELLS,Q.PEAK DUO-G7 325,8,15227,520,2.6,3371,POINT (-73.985272 40.618877)
181937,,Mamaroneck,Westchester,NY,10543,Residential,Consolidated Edison,Purchase,05/03/2019,05/30/2019,Complete,SunRun Inc.,SMA America,SB3.0-1SP-US-40 [240V],1,LG Electronics Inc.,LG360Q1C-A5,7,11006,756,2.52,2947,POINT (-73.734488 40.952304)
60203,4704-84539,West Hempstead,Nassau,NY,11552,Residential,Long Island Power Authority,Lease,12/17/2015,07/29/2016,Complete,Tesla Energy Operations Inc.,ABB,PVI-4.2-OUTD-S-US-Z-A (240V),1,Trina Solar,TSM-260PD05.18,20,29120,811,5.2,6871,POINT (-73.653385 40.693979)
249654,,Flushing,New York,NY,11373,Residential,Consolidated Edison,Purchase,07/14/2020,11/24/2020,Complete,Surf Clean Energy Inc,Enphase Energy Inc.,IQ7PLUS-72-x-ACM-US [240V],14,Trina Solar,TSM-315DD05H.05(II),14,25760,882,4.41,4975,POINT (-73.878172 40.738576)
261324,,Queens,Queens,NY,11417,Residential,Consolidated Edison,Purchase,09/04/2020,11/30/2020,Complete,Venture Home Solar LLC,Enphase Energy Inc.,IQ7-60-x-US [208V],14,LG Electronics Inc.,LG335N1C-V5,14,25372.9,938,4.69,6080,POINT (-73.844504 40.676341)
240498,,LEVITTOWN,Nassau,NY,11756,Residential,Long Island Power Authority,Purchase,03/30/2020,08/19/2020,Complete,Harvest Power,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],29,LG Electronics Inc.,LG350Q1C-A5,29,30000,,10.15,13349,POINT (-73.517198 40.725845)
42981,4704-87836,Patchogue,Suffolk,NY,11772,Residential,Long Island Power Authority,Power Purchase Agreement,01/22/2016,10/16/2016,Complete,Tesla Energy Operations Inc.,Fronius USA,Fronius Primo 7.6-1 @ 240 VAC,1,Hanwha Q-Cells,Q.PRO-G4/SC 265,31,46004,1035,8.22,8932,POINT (-72.995552 40.76922)
44312,4376-93293-GJ,East Meadow,Nassau,NY,11554,Residential,Long Island Power Authority,Purchase,03/18/2016,07/13/2016,Complete,EmPower Solar,SunPower,SPR-E20-327-C-AC,5,SunPower,SPR-E20-327-C-AC,5,6646.77,258,1.64,2067,POINT (-73.556907 40.716032)
152559,,Staten Island,Richmond,NY,10306,Residential,Consolidated Edison,Lease,09/05/2018,10/15/2018,Complete,SunRun Inc.,SolarEdge Technologies Ltd.,SE3000H-US [240V] [SI1],1,REC Solar,REC290TP2 BLK,9,12640,783,2.61,3129,POINT (-74.11862 40.568821)
240313,,Jamaica,Queens,NY,11436,Residential,Consolidated Edison,Lease,03/14/2020,,Pipeline,,Enphase Energy Inc.,IQ7-60-x-US [240V],13,REC Solar,REC310TP2M,13,9340,806,4.03,3906,POINT (-73.796836 40.675692)
70372,,Woodmere,Nassau,NY,11598,Residential,Long Island Power Authority,Purchase,10/10/2016,01/19/2017,Complete,EmPower Solar,SMA America,SB7700TL-US-22-240V,2,SunPower,SPR-E20-327-C-AC,31,37016.13,,10.14,11525,POINT (-73.713011 40.632427)
18978,4704-50006,Oceanside,Nassau,NY,11572,Residential,Long Island Power Authority,Lease,10/17/2014,01/05/2015,Complete,Tesla Energy Operations Inc.,SolarEdge Technologies,SE3000 (240V) w/ -ER-US or A-US,1,Canadian Solar,CS6P-250PX,10,14000,1000,2.5,3034,POINT (-73.637997 40.635636)
41257,4160-84199-GJ,Bayville,Nassau,NY,11709,Residential,Long Island Power Authority,Purchase,01/28/2016,08/09/2016,Complete,"Energy By Choice, Ltd.",SMA America,SB3800TL-US-22 (240V),1,SunPower,SPR-327NE-WHT-D,14,23304,916,4.58,4979,POINT (-73.560422 40.907457)
54423,5194-65733-GJ,GreenLawn,Suffolk,NY,11740,Residential,Long Island Power Authority,Purchase,07/06/2015,10/21/2015,Complete,GreenLeaf Solar,SolarEdge Technologies,SE5000 (240V) w/ -ER-US or A-US,1,Hyundai Heavy Industries,HiS-S270RG,22,21262,855,5.94,5948,POINT (-73.362943 40.863553)
69188,,Monroe,Orange,NY,10950,Residential,Orange and Rockland Utilities,Lease,12/08/2016,01/24/2017,Complete,Tesla Energy Operations Inc.,ABB,PVI-3.6-OUTD-S-US-Z-A (240V),1,Trina Solar,TSM-265PD05.18,18,20320.2,935,4.77,3126,POINT (-74.194618 41.322198)
161768,,Cortlandt,Westchester,NY,10567,Residential,Consolidated Edison,Lease,01/03/2019,05/15/2019,Complete,SunRun Inc.,SolarEdge Technologies Ltd.,SE5000H-US [240V],1,LG Electronics Inc.,LG350Q1C-A5,14,14983,911,4.9,3787,POINT (-73.921894 41.290357)
223451,,Queens,Queens,NY,11434,Residential,Consolidated Edison,Lease,11/26/2019,03/17/2020,Complete,SunRun Inc.,Delta Electronics,M4-TL-US [240V],1,REC Solar,REC290TP2 BLK,9,6453,783,2.61,3243,POINT (-73.775656 40.676003)
251341,,Brooklyn,Kings,NY,11238,Residential,Consolidated Edison,Purchase,06/27/2020,07/16/2020,Complete,"Brooklyn SolarWorks, LLC",SMA America,SB5.0-1SP-US-40 [208V],1,LG Electronics Inc.,LG370Q1C-A5,13,26147.89,962,4.81,5812,POINT (-73.963817 40.67988)
52407,5098-58033,NOrthport,Suffolk,NY,11768,Residential,Long Island Power Authority,Lease,01/29/2015,03/31/2016,Complete,NRG Residential Solar Solutions,Enphase Energy,M215-60-2LL-S2X-IG,13,Trina Solar,TSM-255PA05.08,13,11702.82,756,3.32,3411,POINT (-73.325918 40.90693)
60781,4704-84959,Baldwin,Nassau,NY,11510,Residential,Long Island Power Authority,Lease,12/17/2015,08/25/2016,Complete,Tesla Energy Operations Inc.,ABB,PVI-3.6-OUTD-S-US-Z-A (240V),1,Trina Solar,TSM-260PD05.18,19,27664,988,4.94,6182,POINT (-73.609748 40.654614)
271593,,Cambria Heights,Queens,NY,11411,Residential,Consolidated Edison,Purchase,12/04/2020,,Pipeline,,Enphase Energy Inc.,IQ7-60-x-ACM-US [208V],10,Hanwha Q CELLS,Q.PEAK DUO BLK-G5 320,10,41000,640,3.2,3073,POINT (-73.736117 40.694354)
46354,4704-80172,Huntington Station,Suffolk,NY,11746,Residential,Long Island Power Authority,Lease,11/05/2015,04/15/2016,Complete,Tesla Energy Operations Inc.,ABB,PVI-6000-OUTD-US-Z-A (240V),1,Hanwha Q-Cells,Q.PRO-G4/SC 260,27,39312,927,7.02,9643,POINT (-73.364729 40.815715)
8222,4704-70264,Lake Grove,Suffolk,NY,11755,Residential,Long Island Power Authority,Lease,07/31/2015,04/05/2016,Complete,Tesla Energy Operations Inc.,ABB,PVI-3.0-OUTD-S-US-Z-A (240V),1,Trina Solar,TSM-260PD05.18,14,20384,728,3.64,4736,POINT (-73.117204 40.857024)
288869,,Islandia,Suffolk,NY,11749,Residential,Long Island Power Authority,Purchase,01/27/2021,,Pipeline,,SunPower,SPR-E20-327-E-AC [240V],43,Sunpower,SPR-E20-327-E-AC,43,40004,,14.06,14655,POINT (-73.173128 40.807149)
249259,,Queens,Queens,NY,11426,Residential,Consolidated Edison,Purchase,06/19/2020,11/16/2020,Complete,SunRun Inc.,Enphase Energy Inc.,IQ7-60-x-US [240V],10,LG Electronics Inc.,LG330N1C-A5,10,14910,660,0,3164,POINT (-73.72377 40.735486)
176466,,Yonkers,Westchester,NY,10710,Residential,Consolidated Edison,Purchase,02/26/2019,06/19/2019,Complete,SunPower Capital LLC,SunPower,SPR-X22-360-D-AC [240V],22,Sunpower,SPR-X22-360-D-AC,22,30163.83,1022,7.92,4475,POINT (-73.846594 40.965905)
163104,,East Meadow,Nassau,NY,11554,Residential,Long Island Power Authority,Purchase,11/13/2018,11/21/2018,Complete,"SuNation Solar Systems, Inc.",SolarEdge Technologies Ltd.,SE10000H-US [240V],1,Silfab,SLG370M,31,38430.4,,11.47,12994,POINT (-73.556907 40.716032)
253497,,Whitestone,Queens,NY,11357,Residential,Consolidated Edison,Lease,07/15/2020,09/24/2020,Complete,SunRun Inc.,Enphase Energy Inc.,IQ7-60-x-US [240V],15,"LONGi Green Energy Technology Co., Ltd.",LR6-60HPB-310M,15,10852,930,4.65,5536,POINT (-73.811044 40.785459)
62187,4944-90882,Mastic,Suffolk,NY,11950,Residential,Long Island Power Authority,Lease,02/18/2016,07/07/2016,Complete,SunRun Inc.,Enphase Energy,M250-60-2LL-S2X (-ZC) (-NA) (240V),24,Canadian Solar,CS6P-265P,24,12490.1,865,6.36,5917,POINT (-72.8486 40.806181)
180156,,Long Beach,Nassau,NY,11561,Residential,Long Island Power Authority,Purchase,04/01/2019,05/29/2019,Complete,"SuNation Solar Systems, Inc.",SolarEdge Technologies Ltd.,SE10000H-US [240V],1,"S-Energy Co., Ltd.",SN360M-10,27,34992,,9.72,12733,POINT (-73.660291 40.588332)
273753,,New Rochelle,Westchester,NY,10801,Residential,Consolidated Edison,Power Purchase Agreement,01/15/2021,,Pipeline,,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],22,LG Electronics Inc.,LG350N1C-V5,22,26257,1032,7.7,7080,POINT (-73.785079 40.917133)
