Project Number,Legacy Project Number,City,County,State,Zip Code,Sector,Electric Utility,Purchase Type,Date Application Received,Date Completed,Project Status,Contractor,Primary Inverter Manufacturer,Primary Inverter Model Number,Total Inverter Quantity,Primary PV Module Manufacturer,PV Module Model Number,Total PV Module Quantity,Project Cost,$Incentive,Total Nameplate kW DC,Expected KWh Annual Production,Georeference
262298,,Islip,Suffolk,NY,11751,Residential,Long Island Power Authority,Purchase,09/28/2020,11/30/2020,Complete,Sunrise Energy Corp.,Enphase Energy Inc.,IQ7PLUS-72-x-ACM-US [240V],24,Hanwha Q CELLS,Q.PEAK DUO BLK-G6+ 340,24,36150,,8.16,9403,POINT (-73.213996 40.737542)
246591,,Brooklyn,Kings,NY,11207,Residential,Consolidated Edison,Power Purchase Agreement,05/12/2020,09/10/2020,Complete,"IGS Solar, LLC",Enphase Energy Inc.,IQ7PLUS-72-x-US [208V],8,LG Electronics Inc.,LG350N1C-V5,8,8792,325,2.8,2193,POINT (-73.893934 40.670047)
51057,5159-94838,Hicksville,Nassau,NY,11801,Residential,Long Island Power Authority,Power Purchase Agreement,04/12/2016,08/26/2016,Complete,Level Solar,SolarEdge Technologies,SE5000 (240V) w/ -ER-US or A-US,1,LG Electronics Solar Cell Division,LG285S1C-G4,19,26419.79,845,5.42,6321,POINT (-73.523021 40.762643)
225386,,Wantagh,Nassau,NY,11793,Residential,Long Island Power Authority,Purchase,12/27/2019,07/24/2020,Complete,Hytech Solar Inc,Enphase Energy Inc.,IQ7PLUS-72-x-ACM-US [240V],22,"S-Energy Co., Ltd.",SN370M-10(B),22,34607,,8.14,9070,POINT (-73.510289 40.683611)
34329,4704-63646,Huntington Station,Suffolk,NY,11746,Residential,Long Island Power Authority,Purchase,04/29/2015,08/12/2015,Complete,Tesla Energy Operations Inc.,ABB,PVI-3.0-OUTD-S-US-Z-A (240V),1,Trina Solar,TSM-260PD05.18,10,14560,348,2.6,2556,POINT (-73.364729 40.815715)
264344,,Brooklyn,Kings,NY,11216,Residential,Consolidated Edison,Purchase,09/23/2020,02/25/2021,Complete,SUNCO CAPITAL LLC,Enphase Energy Inc.,IQ7-60-x-ACM-US [208V],15,"S-Energy Co., Ltd.",SN310M-10T,15,48200,930,4.65,5252,POINT (-73.948978 40.680888)
10515,4355-0233-Financing,Deer Park,Suffolk,NY,11729,Residential,Long Island Power Authority,Purchase,07/11/2016,09/23/2016,Complete,"SuNation Solar Systems, Inc.",SolarEdge Technologies,SE5000 (240V) w/ -ER-US or A-US,1,LG Electronics Solar Cell Division,LG365N2W-B3,16,20879,,5.84,6680,POINT (-73.326213 40.761014)
233763,,East Rockaway,Nassau,NY,11518,Residential,Long Island Power Authority,Purchase,01/31/2020,06/03/2020,Complete,"SuNation Solar Systems, Inc.",Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],19,"S-Energy Co., Ltd.",SN370M-10T,19,27707,,7.03,8049,POINT (-73.667444 40.639907)
231983,,Levittown,Nassau,NY,11756,Residential,Long Island Power Authority,Purchase,01/20/2020,07/09/2020,Complete,"SuNation Solar Systems, Inc.",Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],16,"S-Energy Co., Ltd.",SN370M-10T,16,24946,,5.92,8034,POINT (-73.517198 40.725845)
238746,,Ozone Park,Queens,NY,11416,Residential,Consolidated Edison,Power Purchase Agreement,03/03/2020,,Pipeline,,Enphase Energy Inc.,IQ7PLUS-72-x-US [208V],11,LG Electronics Inc.,LG350N1C-V5,11,13667.5,770,3.85,3913,POINT (-73.850201 40.684748)
213069,,Queens,Queens,NY,11432,Residential,Consolidated Edison,Lease,09/19/2019,01/30/2020,Complete,SunPower Capital LLC,SunPower,SPR-A400-G-AC [240V],7,Sunpower,SPR-A400-G-AC,7,21371.02,840,2.8,3479,POINT (-73.792888 40.715188)
38292,5159-71211,Cutchogue,Suffolk,NY,11935,Residential,Long Island Power Authority,Power Purchase Agreement,09/04/2015,04/06/2016,Complete,Level Solar,SolarEdge Technologies,SE3800 (240V) w/ -ER-US or A-US,1,LG Electronics Solar Cell Division,LG300N1C-B3,14,20491.8,840,4.2,4276,POINT (-72.480611 41.014035)
292594,,Northport,Suffolk,NY,11768,Residential,Long Island Power Authority,Purchase,02/26/2021,,Pipeline,,Enphase Energy Inc.,IQ7-60-x-US [240V],33,Hanwha Q CELLS,Q.PEAK DUO BLK-G6+ 340,33,40583.37,,11.22,13186,POINT (-73.325918 40.90693)
2014-665744-Sola,,Huntington Station,Suffolk,NY,11746,Residential,Long Island Power Authority,Lease,08/08/2014,03/30/2015,Complete,VIVINT SOLAR,Enphase En,,8,Trina Sola,,8,10710,779.06,2.04,2395,POINT (-73.364729 40.815715)
209537,,Bronx,Bronx,NY,10467,Residential,Consolidated Edison,Purchase,08/24/2019,01/30/2020,Complete,Venture Home Solar LLC,Enphase Energy Inc.,IQ7-60-x-US [208V],7,LG Electronics Inc.,LG335N1C-A5,7,47951.9,704,2.35,2952,POINT (-73.870219 40.874901)
159288,,Farmingdale,Nassau,NY,11735,Residential,Long Island Power Authority,Purchase,11/05/2018,01/03/2019,Complete,"SuNation Solar Systems, Inc.",SolarEdge Technologies Ltd.,SE7600H-US [240V],1,Silfab,SLG370M,21,34329.5,,7.77,10291,POINT (-73.436991 40.727443)
181039,,East Islip,Suffolk,NY,11730,Residential,Long Island Power Authority,Purchase,03/29/2019,07/30/2019,Complete,Sunrise Energy Corp.,Enphase Energy Inc.,IQ6-60-x-US [240V],21,"Jinko Solar Co., Ltd",JKM300M-60,21,22365,,6.3,7270,POINT (-73.177675 40.729397)
104934,,East meadow,Nassau,NY,11554,Residential,Long Island Power Authority,Purchase,11/17/2017,01/18/2018,Complete,"SuNation Solar Systems, Inc.",SolarEdge Technologies Ltd.,SE10000A-US (240V),1,Silfab,SLA310M,31,33249,,9.61,11420,POINT (-73.556907 40.716032)
242851,,New Rochelle,Westchester,NY,10804,Residential,Consolidated Edison,Power Purchase Agreement,04/09/2020,,Pipeline,,Enphase Energy Inc.,IQ7-60-x-US [240V],8,Hanwha Q CELLS,Q.PEAK BLK-G4.1 300,8,7820.4,149,2.4,978,POINT (-73.785924 40.94994)
59650,5098-89607,Deer Park,Suffolk,NY,11729,Residential,Long Island Power Authority,Lease,02/04/2016,06/13/2016,Complete,NRG Residential Solar Solutions,Enphase Energy,M250-60-2LL-S2X (-ZC) (-NA) (240V),15,LG Electronics Solar Cell Division,LG280S1C-B3,15,14143.21,840,4.2,5501,POINT (-73.326213 40.761014)
82708,,Delmar,Albany,NY,12054,Residential,National Grid,Purchase,03/30/2017,05/19/2017,Complete,"Apex Solar Power, LLC",SolarEdge Technologies,SE 7600A-US (240V),1,SolarWorld,SW 280 Mono,5,150,560,1.4,1493,POINT (-73.848428 42.612026)
232356,,Jamaica,Queens,NY,11411,Residential,Consolidated Edison,Purchase,03/12/2020,12/10/2020,Complete,EmPower Solar,SunPower,SPR-X22-370-E-AC [208V],13,Sunpower,SPR-X22-370-E-AC,13,27947.3,962,4.81,5352,POINT (-73.736117 40.694354)
206034,,Bronx,Bronx,NY,10469,Residential,Consolidated Edison,Purchase,08/07/2019,09/09/2019,Complete,Venture Home Solar LLC,Enphase Energy Inc.,IQ7-60-x-US [240V],10,LG Electronics Inc.,LG335N1C-A5,10,14472,1005,3.35,4034,POINT (-73.847397 40.86878)
191795,,East Northport,Suffolk,NY,11793,Residential,Long Island Power Authority,Purchase,06/21/2019,08/13/2019,Complete,"SuNation Solar Systems, Inc.",Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],17,LG Electronics Inc.,LG365A1C-A5,17,20357,,6.21,7640,POINT (-73.510289 40.683611)
65622,4704-101585,Mount Vernon,Westchester,NY,10552,Residential,Consolidated Edison,Lease,07/27/2016,01/10/2017,Complete,Tesla Energy Operations Inc.,SolarEdge Technologies,SE3000 (240V) w/ -ER-US or A-US,1,Trina Solar,TSM-260PD05.18,13,21079.02,963,3.38,1121,POINT (-73.826165 40.924229)
217892,,Staten Island,Richmond,NY,10303,Residential,Consolidated Edison,Lease,10/26/2019,12/17/2019,Complete,SunRun Inc.,SolarEdge Technologies Ltd.,SE3800H-US [240V],1,LG Electronics Inc.,LG330N1C-A5,13,14047,785,4.29,3539,POINT (-74.162953 40.629735)
205082,,CHAPPAQUA,Westchester,NY,10514,Residential,Consolidated Edison,Power Purchase Agreement,08/05/2019,10/28/2019,Complete,Vivint Solar Development LLC,Enphase Energy Inc.,IQ6-60-x-US [240V],23,Hanwha Q CELLS,Q.PEAK DUO BLK-G5 315,23,23305.03,869,7.25,3809,POINT (-73.771922 41.171866)
